mol_id,HOMO_ORCA(eV),LUMO_ORCA(eV),GAP_ORCA(eV),smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%)
326,-6.8208,-2.4523,4.3685,gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,2.313515349940274,0.12580568156979854,0.02101726786833835,2.647552947217985,0.0,0.0,5.3954791805173485,-5.37446191264901,-5.3954791805173485
723,-6.4001,-2.8171,3.583,gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,1.8716390784192096,1.6687784398400445,0.22554042977020333,2.331395125206782,0.0,0.0,5.968223015629604,-5.742682585859401,-5.968223015629604
1587,-6.5516,-2.4277,4.123899999999999,gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,2.044032249510594,0.2946859770214764,0.04349615149502713,2.6828499191966197,0.0,0.0,5.829075484226223,-5.785579332731196,-5.829075484226223
1589,-6.6492,-3.3001,3.3491000000000004,gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,2.1325981240422527,3.7189958588579892,0.5727147083827958,1.8006311755125732,0.0,0.0,5.567027058983206,-4.994312350600411,-5.567027058983206
2115,-6.3461,-2.5458,3.8003,gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,1.8296671674463576,0.9730207318959477,0.12855761530570078,2.544140689225785,0.0,0.0,6.078272131169024,-5.949714515863324,-6.078272131169024
2124,-6.4809,-2.6169,3.864,gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,1.9772931792752428,0.7526749878856942,0.10746874360123711,2.475143810924269,0.0,0.0,6.362049784219508,-6.2545810406182705,-6.362049784219508
2125,-6.6196,-2.8807,3.7389,gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,2.0995819137231413,1.182735372223997,0.17931805833224781,2.213343906910475,0.0,0.0,5.84314392604082,-5.663825867708572,-5.84314392604082
4019,-4.8969,-1.3142,3.5827,gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,0.3943949607703637,1.7536109699244398,0.04994226445542247,3.792533821723433,0.0,0.0,7.495017153854979,-7.445074889399557,-7.495017153854979
4605,-5.0801,-1.4251,3.655,gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,0.5639327504020366,1.448441773239468,0.058983695319621804,3.684703344712693,0.0,0.0,6.5939544353235116,-6.53497074000389,-6.5939544353235116
4608,-5.1429,-1.6224,3.5205,gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.6238126283375951,2.2384046133495796,0.10083153383160437,3.482758053371009,0.0,0.0,6.921283188922853,-6.820451655091249,-6.921283188922853
4611,-5.5938,-2.0457,3.5481,gdb 4611,NC1=COC(=O)C=N1,-5.883101657524,-10.4487,-5.668733965290747,-2.185074297406,-8.3828,-2.1304008462541653,3.698027360118,2.065949132664,3.538333119036582,4611,1.0687339652907475,2.0338824168087326,0.15696364409349317,3.069599153745835,0.0,0.0,6.155090444782528,-5.998126800689034,-6.155090444782528
4613,-5.0753,-1.2975,3.7778,gdb 4613,OC1=CNC(=N)C=N1,-5.132067403372,-9.9581,-5.15254844524323,-1.608192913782,-7.6585,-1.3942890257065574,3.52387448959,2.299615320778,3.7582594195366728,4613,0.5525484452432303,1.0230600367971767,0.04082019742010164,3.8057109742934427,0.0,0.0,7.238111695710184,-7.197291498290082,-7.238111695710184
4618,-5.7345,-1.8304,3.9041,gdb 4618,OC1=COC(=N)C=N1,-5.820515469678,-10.6671,-5.8013992933875755,-2.057180783112,-8.3298,-1.9190859534522557,3.766055825168,2.337257592947,3.88231333993532,4618,1.2013992933875757,0.681762220356243,0.05914580166046901,3.2809140465477444,0.0,0.0,6.789444446023222,-6.730298644362754,-6.789444446023222
4807,-2.8194,-0.8687,1.9507,gdb 4807,[NH3+]CC1=CC([O-])=CO1,-5.159278789391999,-7.6339,-2.948215359641442,-2.968762214782,-5.1745,-0.9392641768244003,2.19051657461,2.459343889569,2.008951182817042,4807,0.0,76.92372606134951,0.0,4.2607358231756,0.0,0.0,7.568980935851734,-7.568980935851734,-7.568980935851734
5034,-4.8444,-1.1826,3.6618,gdb 5034,[O-]C1=COC=CC1=[NH2+],-4.998731611874,-9.6853,-4.948787272980307,-1.287098558746,-7.429,-1.2711793365098303,3.711633053128,2.25628481443,3.677607936470477,5034,0.34878727298030726,1.322599965293209,0.03331139003541171,3.9288206634901703,0.0,0.0,7.568153036722112,-7.534841646686701,-7.568153036722112
6059,-5.3784,-1.9864,3.3920000000000003,gdb 6059,NC(=[NH2+])C#CC([O-])=O,-5.632756906139999,-10.0035,-5.515573042420028,-2.24493934665,-7.8995,-2.089993601549901,3.38781755949,2.104073126174,3.425579440870127,6059,0.9155730424200283,2.846747452999437,0.18821124043106668,3.110006398450099,0.0,0.0,7.037107715253992,-6.848896474822925,-7.037107715253992
6273,-5.8323,-2.5664,3.2659,gdb 6273,CN(C)CC(=O)C=O,-6.079023636868,-9.884,-5.966908913072902,-2.40820766277,-9.1427,-2.649108283910418,3.670815974098,0.741289185328,3.317800629162484,6273,1.366908913072902,3.8860560373542596,0.38357673083230126,2.5508917160895823,0.0,0.0,7.172794274148249,-6.789217543315948,-7.172794274148249
6683,-6.0001,0.1142,6.1143,gdb 6683,[O-]C(=O)CCNC=[NH2+],-4.138851813642,-10.7954,-6.137340412265838,-2.05445964451,-6.1326,0.0155932954713327,2.084392169132,4.662862775121,6.152933707737171,6683,1.5373404122658385,3.945743351986868e-05,4.380286289202015e-06,5.1844067045286675,0.0,0.0,7.785839973324041,-7.785835593037752,-7.785839973324041
7902,-6.2938,-2.6104,3.6834,gdb 7902,CN1CC(=O)C(=O)C1,-5.790582945055999,-10.2754,-6.446840183882108,-2.552428008676,-8.8948,-2.7182127786087085,3.240876074982,1.380639200471,3.728627405273399,7902,1.8468401838821078,1.1250150746364664,0.1500345487433113,2.4817872213912917,0.0,0.0,6.575456195726993,-6.425421646983682,-6.575456195726993
8721,-6.7228,-2.614,4.1088000000000005,gdb 8721,O=CC(=O)C(=O)C#C,-6.99332620714,-11.3649,-6.826092989436996,-3.74156557775,-9.1151,-2.716269289310436,3.2490394907880003,2.249846314871,4.10982370012656,8721,2.2260929894369967,0.3129600999729164,0.05030786570565506,2.483730710689564,0.0,0.0,5.509770905137052,-5.459463039431397,-5.509770905137052
8723,-6.7659,-2.8051,3.9608,gdb 8723,O=CC(=O)C(=O)C=O,-6.949787989508001,-11.5756,-6.85539775080951,-4.274908743742,-9.5169,-2.893082129869044,2.674879245766,2.058642602369,3.9623156209404655,8723,2.25539775080951,0.5211008619491105,0.08486889617384873,2.306917870130956,0.0,0.0,4.99302321282936,-4.908154316655511,-4.99302321282936
8779,-6.2623,-1.8741,4.388199999999999,gdb 8779,CN=C(N)C(=O)C=O,-6.574270862432,-10.5157,-6.3680921903852115,-2.786445928448,-8.4843,-1.975189472840466,3.787824933984,2.031395736854,4.392902717544746,8779,1.7680921903852116,0.11165424062758694,0.014255542436092315,3.2248105271595344,0.0,0.0,6.7609869205337665,-6.7467313780976745,-6.7609869205337665
8786,-6.938,-2.79,4.148,gdb 8786,CNC(=N)C(=O)C#N,-6.862711554243999,-10.8013,-7.064412328116652,-3.189174441544,-9.2903,-2.901256931616891,3.6735371127,1.511027912851,4.163155396499761,8786,2.4644123281166523,0.2590823255518861,0.046105716815717616,2.2987430683831094,0.0,0.0,6.684290230778057,-6.638184513962339,-6.684290230778057
8792,-6.4915,-2.3471,4.1444,gdb 8792,CCC(=O)C(=O)C=O,-6.718491208338,-11.1713,-6.577405604292096,-3.077607758862,-9.1143,-2.4300919075016734,3.638162310874,2.056984165188,4.147313696790423,8792,1.9774056042920962,0.2741074243928324,0.03913994208454997,2.769908092498327,0.0,0.0,6.381922543734096,-6.342782601649546,-6.381922543734096
8793,-6.4005,-1.9109,4.4896,gdb 8793,CNC(=N)C(=O)C=O,-6.40828140771,-10.6858,-6.504957321504449,-3.23815493638,-8.5899,-2.0142472297758354,3.17012647133,2.09591173234,4.490710091728614,8793,1.904957321504449,0.07696461006670022,0.0105871713675619,3.185752770224165,0.0,0.0,7.0018244770948534,-6.991237305727291,-7.0018244770948534
8794,-6.6338,-2.3236,4.3102,gdb 8794,CNC(=O)C(=O)C=O,-6.683116406512,-11.1187,-6.721428378081482,-3.232712659176,-9.0244,-2.4118126622368123,3.450403747336,2.094249605394,4.30961571584467,8794,2.1214283780814824,0.15228806040506523,0.02332909268702615,2.788187337763188,0.0,0.0,6.129783174326445,-6.106454081639418,-6.129783174326445
8795,-6.7958,-1.9115,4.8843,gdb 8795,COC(=O)C(=O)C=O,-6.955230266711999,-11.4995,-6.890307138515256,-3.37421186648,-8.9504,-2.0081904950257603,3.57829726163,2.549071186867,4.882116643489496,8795,2.2903071385152565,0.01599751734762789,0.0026457568891922446,3.19180950497424,0.0,0.0,5.559985062734098,-5.557339305844906,-5.559985062734098
