mol_id,HOMO_ORCA(eV),LUMO_ORCA(eV),GAP_ORCA(eV),smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%)
326,-6.8208,-2.4523,4.3685,gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,2.2208000000000006,0.1223588809220728,0.019622239140365483,2.7477,0.0,0.0,5.3954791805173485,-5.375856941376983,-5.3954791805173485
723,-6.4001,-2.8171,3.583,gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,1.8001000000000003,1.7748914395134172,0.2307129890464486,2.3829000000000002,0.0,0.0,5.968223015629604,-5.737510026583156,-5.968223015629604
1587,-6.5516,-2.4277,4.123899999999999,gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,1.9515999999999998,0.2978072368260556,0.04196910188378649,2.7723,0.0,0.0,5.829075484226223,-5.7871063823424365,-5.829075484226223
1589,-6.6492,-3.3001,3.3491000000000004,gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,2.049200000000001,3.553883735042368,0.5258854827692004,1.8999,0.0,0.0,5.567027058983206,-5.041141576214006,-5.567027058983206
2115,-6.3461,-2.5458,3.8003,gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,1.7461,0.8929083092512778,0.11258475729698883,2.6542000000000003,0.0,0.0,6.078272131169024,-5.9656873738720355,-6.078272131169024
2124,-6.4809,-2.6169,3.864,gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,1.8809000000000002,0.7244601003740624,0.09839743948530029,2.5831000000000004,0.0,0.0,6.362049784219508,-6.263652344734208,-6.362049784219508
2125,-6.6196,-2.8807,3.7389,gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,2.0196000000000005,1.0886608241384699,0.1587674889637329,2.3193,0.0,0.0,5.84314392604082,-5.684376437077087,-5.84314392604082
4019,-4.8969,-1.3142,3.5827,gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,0.2968999999999998,1.776526014306627,0.03808775616365865,3.8858000000000006,0.0,0.0,7.495017153854979,-7.4569293976913205,-7.495017153854979
4605,-5.0801,-1.4251,3.655,gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,0.4801,1.4198985915756623,0.04922578533841089,3.7748999999999997,0.0,0.0,6.5939544353235116,-6.5447286499851005,-6.5939544353235116
4608,-5.1429,-1.6224,3.5205,gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.5429000000000002,2.1465234861944413,0.08415096594302415,3.5776000000000003,0.0,0.0,6.921283188922853,-6.837132222979829,-6.921283188922853
