smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%)
gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,2.4912871968120003,6.491318483228562,1.167778116790147,1.24074333409,6.491318483228562,0.5815920845889081,5.3954791805173485,-4.227701063727201,-4.8138870959284406
gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,2.1348180399500007,1.2834220449430387,0.19784905396648114,2.149603627158,0.0,0.0,5.968223015629604,-5.7703739616631236,-5.968223015629604
gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,2.1729139803780004,1.4589330085109447,0.2289188226612658,2.0734117463020003,0.0,0.0,5.829075484226223,-5.600156661564958,-5.829075484226223
gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,2.153866010164,2.710627081823847,0.4215917220913413,1.888374321366,0.0,0.0,5.567027058983206,-5.145435336891865,-5.567027058983206
gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,1.786512298894,0.8975414792253555,0.11578816139954043,2.612197189498,0.0,0.0,6.078272131169024,-5.962483969769484,-6.078272131169024
gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,1.383783785798,2.821334600181948,0.2819203667220801,2.644850852722,0.0,0.0,6.362049784219508,-6.080129417497428,-6.362049784219508
gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,1.9144058131879997,1.2944933687075437,0.17895236961843336,2.37001585392,0.0,0.0,5.84314392604082,-5.664191556422386,-5.84314392604082
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,0.3633568100480005,2.5622137236472833,0.06722832274386968,3.697931491696,0.0,0.0,7.495017153854979,-7.427788831111109,-7.495017153854979
gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,0.7715276003479994,0.9055194410888519,0.05044903518489076,3.62173961084,0.0,0.0,6.5939544353235116,-6.543505400138621,-6.5939544353235116
gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.8477194812040005,1.3981343826783799,0.08558638809972331,3.412211938486,0.0,0.0,6.921283188922853,-6.83569680082313,-6.921283188922853
gdb 4611,NC1=COC(=O)C=N1,-5.883101657524,-10.4487,-5.668733965290747,-2.185074297406,-8.3828,-2.1304008462541653,3.698027360118,2.065949132664,3.538333119036582,4611,1.2831016575239997,1.2399969399499469,0.11489081192083597,3.014925702594,0.0,0.0,6.155090444782528,-6.040199632861691,-6.155090444782528
gdb 4613,OC1=CNC(=N)C=N1,-5.132067403372,-9.9581,-5.15254844524323,-1.608192913782,-7.6585,-1.3942890257065574,3.52387448959,2.299615320778,3.7582594195366728,4613,0.5320674033720001,2.124784918030066,0.08163666359556833,3.591807086218,0.0,0.0,7.238111695710184,-7.156475032114615,-7.238111695710184
gdb 4618,OC1=COC(=N)C=N1,-5.820515469678,-10.6671,-5.8013992933875755,-2.057180783112,-8.3298,-1.9190859534522557,3.766055825168,2.337257592947,3.88231333993532,4618,1.220515469678,0.9976811543354851,0.0879303245606015,3.1428192168880003,0.0,0.0,6.789444446023222,-6.701514121462621,-6.789444446023222
gdb 4807,[NH3+]CC1=CC([O-])=CO1,-5.159278789391999,-7.6339,-2.948215359641442,-2.968762214782,-5.1745,-0.9392641768244003,2.19051657461,2.459343889569,2.008951182817042,4807,0.5592787893919995,55.49629966284114,2.241279375638755,2.231237785218,0.0,0.0,7.568980935851734,-5.327701560212979,-7.568980935851734
gdb 5034,[O-]C1=COC=CC1=[NH2+],-4.998731611874,-9.6853,-4.948787272980307,-1.287098558746,-7.429,-1.2711793365098303,3.711633053128,2.25628481443,3.677607936470477,5034,0.3987316118739999,1.1876064456533655,0.0341945453345002,3.912901441254,0.0,0.0,7.568153036722112,-7.533958491387612,-7.568153036722112
gdb 6059,NC(=[NH2+])C#CC([O-])=O,-5.632756906139999,-10.0035,-5.515573042420028,-2.24493934665,-7.8995,-2.089993601549901,3.38781755949,2.104073126174,3.425579440870127,6059,1.0327569061399993,3.1783078175727946,0.23702692539617037,2.9550606533500003,0.0,0.0,7.037107715253992,-6.800080789857821,-7.037107715253992
gdb 6273,CN(C)CC(=O)C=O,-6.079023636868,-9.884,-5.966908913072902,-2.40820766277,-9.1427,-2.649108283910418,3.670815974098,0.741289185328,3.317800629162484,6273,1.4790236368680005,1.351170627847177,0.14430750886654067,2.79179233723,0.0,0.0,7.172794274148249,-7.028486765281708,-7.172794274148249
gdb 6683,[O-]C(=O)CCNC=[NH2+],-4.138851813642,-10.7954,-6.137340412265838,-2.05445964451,-6.1326,0.0155932954713327,2.084392169132,4.662862775121,6.152933707737171,6683,0.0,67.39573210164117,0.0,3.14554035549,0.0,0.0,7.785839973324041,-7.785839973324041,-7.785839973324041
gdb 7902,CN1CC(=O)C(=O)C1,-5.790582945055999,-10.2754,-6.446840183882108,-2.552428008676,-8.8948,-2.7182127786087085,3.240876074982,1.380639200471,3.728627405273399,7902,1.1905829450559995,4.823186953291077,0.41466499256080014,2.6475719913240003,0.0,0.0,6.575456195726993,-6.160791203166193,-6.575456195726993
gdb 8721,O=CC(=O)C(=O)C#C,-6.99332620714,-11.3649,-6.826092989436996,-3.74156557775,-9.1151,-2.716269289310436,3.2490394907880003,2.249846314871,4.10982370012656,8721,2.3933262071400003,4.714998397640878,0.8148676279299746,1.45843442225,0.0,0.0,5.509770905137052,-4.694903277207078,-5.509770905137052
gdb 8723,O=CC(=O)C(=O)C=O,-6.949787989508001,-11.5756,-6.85539775080951,-4.274908743742,-9.5169,-2.893082129869044,2.674879245766,2.058642602369,3.9623156209404655,8723,2.349787989508001,0.0,0.0,0.9250912562579996,20.230635897526845,1.3514429877144982,4.99302321282936,-4.99302321282936,-3.641580225114862
