smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%),PC1,PC2,PC3,Cluster,PCA1,PCA2,PCA3,tSNE1,tSNE2,UMAP1,UMAP2,Subcluster
gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,2.4912871968120003,6.491318483228562,1.167778116790147,1.24074333409,6.491318483228562,0.5815920845889081,5.3954791805173485,-4.227701063727201,-4.8138870959284406,3.826631649524248,1.123739733504985,0.44933099641073626,3,-0.7566645890350532,2.514226821163478,0.03863246108474568,17.71018,14.627825,12.6163435,12.849072,
gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,2.1348180399500007,1.2834220449430387,0.19784905396648114,2.149603627158,0.0,0.0,5.968223015629604,-5.7703739616631236,-5.968223015629604,1.7556308781302468,-0.5375498632607333,-0.2784719897892089,0,-1.0453233655725969,0.4176553325421171,0.6063564102289231,25.945812,8.565705,11.258035,14.74734,1.0
gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,2.1729139803780004,1.4589330085109447,0.2289188226612658,2.0734117463020003,0.0,0.0,5.829075484226223,-5.600156661564958,-5.829075484226223,1.9937389594705666,-0.48240414258793457,-0.3386200651984305,0,-1.0587544311372858,0.5021014991648551,0.6099537897085691,21.906734,6.500634,11.496206,13.86253,1.0
gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,2.153866010164,2.710627081823847,0.4215917220913413,1.888374321366,0.0,0.0,5.567027058983206,-5.145435336891865,-5.567027058983206,2.5339984617022115,-0.1012527044733152,-0.34956417855032107,0,-0.9153085128229598,0.8629779023422816,0.4321089395661652,21.534681,11.041831,12.405102,13.453708,0.0
gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,1.786512298894,0.8975414792253555,0.11578816139954043,2.612197189498,0.0,0.0,6.078272131169024,-5.962483969769484,-6.078272131169024,1.29299005771822,-0.5747389376264083,-0.4176155569782136,0,-0.7930522843955818,0.03580645831725803,0.3999419439822167,23.568575,5.692126,11.565381,14.288637,1.0
gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,1.383783785798,2.821334600181948,0.2819203667220801,2.644850852722,0.0,0.0,6.362049784219508,-6.080129417497428,-6.362049784219508,0.8475365948108884,-0.12977754951802256,-0.2042281929420462,0,-0.30271399765295853,0.10699841205165045,-0.03613622117824824,23.223133,3.2367733,9.375825,14.330039,0.0
gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,1.9144058131879997,1.2944933687075437,0.17895236961843336,2.37001585392,0.0,0.0,5.84314392604082,-5.664191556422386,-5.84314392604082,1.7487174568975374,-0.4822370207598139,-0.4842747556394136,0,-0.8623045673908829,0.2404249486757416,0.4492459560890029,23.051971,6.4879484,11.61173,14.098504,1.0
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,0.3633568100480005,2.5622137236472833,0.06722832274386968,3.697931491696,0.0,0.0,7.495017153854979,-7.427788831111109,-7.495017153854979,-1.520473016577517,-0.23650946159016523,0.024799705250260973,1,0.4810895263238047,-0.9543737715170936,-0.6388189886162733,-21.098228,-0.69447404,5.6366367,-3.4319532,
gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,0.7715276003479994,0.9055194410888519,0.05044903518489076,3.62173961084,0.0,0.0,6.5939544353235116,-6.543505400138621,-6.5939544353235116,-0.10789626939059424,-0.38264287636962785,-0.492034298729669,1,0.05677904749612746,-0.7403033306542469,-0.348022828929192,-20.91101,-9.456906,4.8151135,-1.5889701,
gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.8477194812040005,1.3981343826783799,0.08558638809972331,3.412211938486,0.0,0.0,6.921283188922853,-6.83569680082313,-6.921283188922853,-0.4387970686530612,-0.3628476835390698,-0.1790995347077343,1,0.024618232260931353,-0.6203254436167311,-0.3073687802567431,-22.442781,-9.005899,4.5082493,-1.7647904,
