smiles_key,smiles,HOMO,LUMO,Gap,HOMO(eV),LUMO(eV),Gap(eV),Scharber_Gap(eV)
gdb 326,O=CC(=O)C=O,-0.2606,-0.1455,0.1151,-7.091287196812,-3.95925666591,3.132030530902,3.132030530902
gdb 723,C1=NN=CN=N1,-0.2475,-0.1121,0.1355,-6.73481803995,-3.050396372842,3.68714280571,3.68714280571
gdb 1587,CC(=O)C(=O)C=O,-0.2489,-0.1149,0.134,-6.772913980378,-3.126588253698,3.64632572668,3.64632572668
gdb 1589,NC(=O)C(=O)C=O,-0.2482,-0.1217,0.1265,-6.753866010164,-3.311625678634,3.44224033153,3.44224033153
gdb 2115,O=C1CC=CC1=O,-0.2347,-0.0951,0.1396,-6.386512298894,-2.587802810502,3.798709488392,3.798709488392
gdb 2124,O=C1CNCC1=O,-0.2199,-0.0939,0.126,-5.983783785798,-2.555149147278,3.42863463852,3.42863463852
gdb 2125,O=C1COCC1=O,-0.2394,-0.104,0.1354,-6.514405813188,-2.82998414608,3.684421667108,3.684421667108
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-0.1824,-0.0552,0.1272,-4.963356810048,-1.502068508304,3.461288301744,3.461288301744
gdb 4605,NC1=CNC(=O)C=N1,-0.1974,-0.058,0.1395,-5.371527600347999,-1.57826038916,3.79598834979,3.79598834979
gdb 4608,NC1=COC(=N)C=N1,-0.2002,-0.0657,0.1345,-5.447719481204,-1.7877880615139998,3.65993141969,3.65993141969
gdb 4611,NC1=COC(=O)C=N1,-0.2162,-0.0803,0.1359,-5.883101657524,-2.185074297406,3.698027360118,3.698027360118
gdb 4613,OC1=CNC(=N)C=N1,-0.1886,-0.0591,0.1295,-5.132067403372,-1.608192913782,3.52387448959,3.52387448959
gdb 4618,OC1=COC(=N)C=N1,-0.2139,-0.0756,0.1384,-5.820515469678,-2.057180783112,3.766055825168,3.766055825168
gdb 4807,[NH3+]CC1=CC([O-])=CO1,-0.1896,-0.1091,0.0805,-5.159278789391999,-2.968762214782,2.19051657461,2.19051657461
gdb 5034,[O-]C1=COC=CC1=[NH2+],-0.1837,-0.0473,0.1364,-4.998731611874,-1.287098558746,3.711633053128,3.711633053128
gdb 6059,NC(=[NH2+])C#CC([O-])=O,-0.207,-0.0825,0.1245,-5.632756906139999,-2.24493934665,3.38781755949,3.38781755949
gdb 6273,CN(C)CC(=O)C=O,-0.2234,-0.0885,0.1349,-6.079023636868,-2.40820766277,3.670815974098,3.670815974098
gdb 6683,[O-]C(=O)CCNC=[NH2+],-0.1521,-0.0755,0.0766,-4.138851813642,-2.05445964451,2.084392169132,2.084392169132
gdb 7902,CN1CC(=O)C(=O)C1,-0.2128,-0.0938,0.1191,-5.790582945055999,-2.552428008676,3.240876074982,3.240876074982
gdb 8721,O=CC(=O)C(=O)C#C,-0.257,-0.1375,0.1194,-6.99332620714,-3.74156557775,3.2490394907880003,3.2490394907880003
gdb 8723,O=CC(=O)C(=O)C=O,-0.2554,-0.1571,0.0983,-6.949787989508001,-4.274908743742,2.674879245766,2.674879245766
gdb 8779,CN=C(N)C(=O)C=O,-0.2416,-0.1024,0.1392,-6.574270862432,-2.786445928448,3.787824933984,3.787824933984
gdb 8786,CNC(=N)C(=O)C#N,-0.2522,-0.1172,0.135,-6.862711554243999,-3.189174441544,3.6735371127,3.6735371127
gdb 8792,CCC(=O)C(=O)C=O,-0.2469,-0.1131,0.1337,-6.718491208338,-3.077607758862,3.638162310874,3.638162310874
gdb 8793,CNC(=N)C(=O)C=O,-0.2355,-0.119,0.1165,-6.40828140771,-3.23815493638,3.17012647133,3.17012647133
gdb 8794,CNC(=O)C(=O)C=O,-0.2456,-0.1188,0.1268,-6.683116406512,-3.232712659176,3.450403747336,3.450403747336
gdb 8795,COC(=O)C(=O)C=O,-0.2556,-0.124,0.1315,-6.955230266711999,-3.37421186648,3.57829726163,3.57829726163
gdb 8796,OCC(=O)C(=O)C=O,-0.2478,-0.1304,0.1174,-6.742981455756,-3.548364737008,3.194616718748,3.194616718748
gdb 9986,[NH2+]=CN[C-](C#N)C#N,-0.1882,-0.0529,0.1353,-5.121182848964,-1.439482320458,3.681700528506,3.681700528506
gdb 10016,NC=[NH+][C-](C#N)C#N,-0.1882,-0.0529,0.1353,-5.121182848964,-1.439482320458,3.681700528506,3.681700528506
gdb 10785,[NH2+]=C1O[CH-]C(=O)C=C1,-0.1784,-0.0673,0.1111,-4.854511265968,-1.831326279146,3.023184986822,3.023184986822
gdb 12585,NC1=NCC(=O)C1=O,-0.2318,-0.1135,0.1182,-6.307599279436,-3.08849231327,3.216385827564,3.216385827564
gdb 12617,CC1C=CC(=O)C1=O,-0.232,-0.0935,0.1385,-6.31304155664,-2.54426459287,3.76877696377,3.76877696377
gdb 12653,CC1NCC(=O)C1=O,-0.2175,-0.0924,0.1251,-5.91847645935,-2.514332068248,3.404144391102,3.404144391102
gdb 12654,CC1OCC(=O)C1=O,-0.2373,-0.1026,0.1346,-6.457261902546,-2.791888205652,3.662652558292,3.662652558292
gdb 13588,CN1CC1C(=O)C=O,-0.2384,-0.1005,0.1379,-6.487194427168,-2.73474429501,3.752450132158,3.752450132158
gdb 16607,O=C1CN2CC2C1=O,-0.2344,-0.0952,0.1391,-6.378348883088,-2.590523949104,3.785103795382,3.785103795382
gdb 20482,C1OC2=C(O1)N=NO2,-0.227,-0.0914,0.1356,-6.17698462654,-2.487120682228,3.689863944312,3.689863944312
gdb 21134,CN=C1NN=CC=N1,-0.2157,-0.0771,0.1386,-5.869495964514,-2.097997862142,3.771498102372,3.771498102372
gdb 21364,N1C=CC2=C1ON=N2,-0.2015,-0.0678,0.1337,-5.48309428303,-1.844931972156,3.638162310874,3.638162310874
