smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,Approx Gap,Hardness (η),Chemical Potential (μ),Electrophilicity (ω),Gap Δ (Real - Approx)
gdb 326,O=CC(=O)C=O,-7.091287196812,-11.4928,-6.9135153499402735,-3.95925666591,-9.1664,-2.552447052782015,3.132030530902,2.326329752312,4.361068297158258,326,-0.4010240283656033,-0.20051201418280165,0.20051201418280165,-0.10025600709140083,4.762092325523862
gdb 723,C1=NN=CN=N1,-6.73481803995,-10.1217,-6.4716390784192095,-3.050396372842,-9.5066,-2.8686048747932182,3.68714280571,0.615099597383,3.6030342036259912,723,-0.15990528610064664,-0.07995264305032332,0.07995264305032332,-0.03997632152516166,3.7629394897266377
gdb 1587,CC(=O)C(=O)C=O,-6.772913980378,-11.2156,-6.644032249510594,-3.126588253698,-9.1516,-2.5171500808033804,3.64632572668,2.064026412786,4.126882168707214,1587,-0.0718831638385572,-0.0359415819192786,0.0359415819192786,-0.0179707909596393,4.198765332545771
gdb 1589,NC(=O)C(=O)C=O,-6.753866010164,-11.1089,-6.732598124042252,-3.311625678634,-9.9451,-3.3993688244874267,3.44224033153,1.163797961585,3.3332292995548256,1589,-0.7531224327855378,-0.3765612163927689,0.3765612163927689,-0.18828060819638445,4.086351732340363
gdb 2115,O=C1CC=CC1=O,-6.386512298894,-10.8568,-6.4296671674463575,-2.587802810502,-9.2243,-2.655859310774215,3.798709488392,1.632488659048,3.7738078566721422,2115,0.34233931255444794,0.17116965627722397,-0.17116965627722397,0.08558482813861198,3.431468544117694
gdb 2124,O=C1CNCC1=O,-5.983783785798,-10.529,-6.577293179275243,-2.555149147278,-8.9026,-2.724856189075731,3.42863463852,1.626381392607,3.8524369901995117,2124,-0.19362789694100857,-0.09681394847050429,0.09681394847050429,-0.04840697423525215,4.0460648871405205
gdb 2125,O=C1COCC1=O,-6.514405813188,-11.2428,-6.699581913723141,-2.82998414608,-9.3497,-2.9866560930895254,3.684421667108,1.893042853988,3.7129258206336155,2125,0.013618262429433842,0.006809131214716921,-0.006809131214716921,0.0034045656073584604,3.6993075582041817
gdb 4019,NC(=[NH2+])C(C=O)=N[O-],-4.963356810048,-9.2809,-4.9943949607703635,-1.502068508304,-8.0714,-1.407466178276567,3.461288301744,1.209446794643,3.5869287824937963,4019,-1.2917403729261778,-0.6458701864630889,0.6458701864630889,-0.32293509323154446,4.878669155419974
gdb 4605,NC1=CNC(=O)C=N1,-5.371527600347999,-9.9252,-5.1639327504020365,-1.57826038916,-7.7132,-1.5152966552873075,3.79598834979,2.212065154687,3.648636095114729,4605,-0.09042919192248541,-0.04521459596124271,0.04521459596124271,-0.022607297980621353,3.7390652870372145
gdb 4608,NC1=COC(=N)C=N1,-5.447719481204,-9.9645,-5.223812628337595,-1.7877880615139998,-7.9571,-1.7172419466289912,3.65993141969,2.007467971213,3.5065706817086038,4608,0.1100019772029624,0.0550009886014812,-0.0550009886014812,0.0275004943007406,3.396568704505641
