Id,SMILES,GAP_DFT(eV),Hardness (η),Chemical Potential (μ),Electrophilicity (ω),MW,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms,QED,FractionCSP3
326,O=CC(=O)C=O,4.361068297158258,2.180534148579129,4.732981201361144,5.136610923299436,86.04599999999999,-1.0467000000000002,51.21,3,0,2,0,6,0.2446519432687936,0.0
723,C1=NN=CN=N1,3.6030342036259912,1.8015171018129956,4.670121976606214,6.053242362903833,82.066,-0.7334,51.56,4,0,0,1,6,0.4135894277987068,0.0
1587,CC(=O)C(=O)C=O,4.126882168707214,2.063441084353607,4.580591165156987,5.084180881492674,100.07299999999998,-0.6566000000000001,51.21,3,0,2,0,7,0.2628336723228857,0.25
1589,NC(=O)C(=O)C=O,3.3332292995548256,1.6666146497774128,5.06598347426484,7.69949687078296,101.06099999999998,-1.7603000000000002,77.23,3,1,2,0,7,0.25405513442892463,0.0
2115,O=C1CC=CC1=O,3.7738078566721422,1.8869039283360711,4.542763239110286,5.468401845135232,96.085,0.08449999999999996,34.14,2,0,0,0,7,0.40017862510889596,0.2
2124,O=C1CNCC1=O,3.8524369901995117,1.9262184950997558,4.651074684175487,5.61527567428372,99.089,-1.2722,46.17,3,1,0,0,7,0.38494420611798286,0.5
2125,O=C1COCC1=O,3.7129258206336155,1.8564629103168078,4.843119003406333,6.317336465707464,100.073,-0.8452000000000002,43.370000000000005,3,0,0,0,7,0.37243652485886786,0.5
4019,NC(=[NH2+])C(C=O)=N[O-],3.5869287824937963,1.7934643912468982,3.2009305695234653,2.856470571959993,115.09199999999998,-2.7596,104.10000000000001,3,2,2,0,8,0.1761192541476441,0.0
4605,NC1=CNC(=O)C=N1,3.648636095114729,1.8243180475573646,3.339614702844672,3.056765890791201,111.104,-0.6479000000000001,71.77000000000001,3,2,0,1,8,0.4670416161550293,0.0
4608,NC1=COC(=N)C=N1,3.5065706817086038,1.7532853408543019,3.470527287483293,3.434854376669042,111.104,-0.26372999999999996,75.9,4,2,0,1,8,0.48373395440592476,0.0
4611,NC1=COC(=O)C=N1,3.538333119036582,1.769166559518291,3.8995674057724563,4.297680698956741,112.088,-0.383,69.12,4,1,0,1,8,0.4961566780655864,0.0
4613,OC1=CNC(=N)C=N1,3.7582594195366728,1.8791297097683364,3.273418735474894,2.8511257530697702,111.104,-0.4052300000000002,72.75999999999999,3,3,0,1,8,0.425678831823727,0.0
4618,OC1=COC(=N)C=N1,3.88231333993532,1.94115666996766,3.8602426234199156,3.838297377592952,112.088,-0.14033,70.11000000000001,4,2,0,1,8,0.49031997579171466,0.0
4807,[NH3+]CC1=CC([O-])=CO1,2.008951182817042,1.004475591408521,1.9437397682329212,1.8806451440558716,113.11599999999999,-0.9048999999999996,63.84,2,1,1,1,8,0.5123279549339337,0.2
5034,[O-]C1=COC=CC1=[NH2+],3.677607936470477,1.8388039682352384,3.109983304745069,2.629969350423906,111.1,-1.9869999999999992,61.790000000000006,2,1,0,1,8,0.42113555864067215,0.0
6059,NC(=[NH2+])C#CC([O-])=O,3.425579440870127,1.7127897204350635,3.8027833219849647,4.221522590144266,112.08799999999998,-4.144,91.74000000000001,2,2,0,0,8,0.1891727766893275,0.0
6273,CN(C)CC(=O)C=O,3.317800629162484,1.658900314581242,4.30800859849166,5.593747231690329,115.13199999999998,-0.6840000000000002,37.38,3,0,3,0,8,0.36088197082605816,0.6
6683,[O-]C(=O)CCNC=[NH2+],6.152933707737171,3.0764668538685855,3.060873558397253,1.522679649337718,116.12,-3.496599999999999,77.75,2,2,4,0,8,0.2271556074082811,0.5
7902,CN1CC(=O)C(=O)C1,3.728627405273399,1.8643137026366996,4.582526481245408,5.6319783847578195,113.11599999999999,-0.9300000000000002,37.38,3,0,0,0,8,0.3807567923557122,0.6
8721,O=CC(=O)C(=O)C#C,4.10982370012656,2.05491185006328,4.7711811393737165,5.538964959498011,110.06799999999998,-1.0433000000000001,51.21,3,0,2,0,8,0.1498216767777652,0.0
8723,O=CC(=O)C(=O)C=O,3.9623156209404655,1.9811578104702328,4.874239940339277,5.996043038681398,114.05599999999998,-1.4776000000000002,68.28,4,0,3,0,8,0.25475818250896143,0.0
8779,CN=C(N)C(=O)C=O,4.392902717544746,2.196451358772373,4.171640831612839,3.96152347250385,114.10399999999997,-1.2586000000000002,72.52,3,1,2,0,8,0.2106374328967489,0.25
8786,CNC(=N)C(=O)C#N,4.163155396499761,2.0815776982498804,4.982834629866772,5.963899634751709,111.104,-0.7242500000000003,76.74000000000001,3,2,1,0,8,0.2659998552156283,0.25
8792,CCC(=O)C(=O)C=O,4.147313696790423,2.0736568483952116,4.5037487558968845,4.8908171262617985,114.09999999999998,-0.26649999999999996,51.21,3,0,3,0,8,0.28816091776187625,0.4
8793,CNC(=N)C(=O)C=O,4.490710091728614,2.245355045864307,4.259602275640142,4.040388084739268,114.10399999999998,-1.0489300000000004,70.02000000000001,3,2,2,0,8,0.2081460508482649,0.25
8794,CNC(=O)C(=O)C=O,4.30961571584467,2.154807857922335,4.566620520159147,4.838951857927149,115.08799999999998,-1.4996000000000007,63.24,3,1,2,0,8,0.27043315092421727,0.25
8795,COC(=O)C(=O)C=O,4.882116643489496,2.441058321744748,4.449248816770508,4.054760768555643,116.07199999999999,-1.0726000000000002,60.440000000000005,4,0,2,0,8,0.19926361514490282,0.25
8796,OCC(=O)C(=O)C=O,3.886903162399231,1.9434515811996156,4.567732682465872,5.367816224572016,116.07199999999999,-1.6842,71.44,4,1,3,0,8,0.27125148474850647,0.25
9986,[NH2+]=CN[C-](C#N)C#N,3.626864848769487,1.8134324243847435,3.1378898023963404,2.714838523780005,108.104,-2.0574499999999993,85.19999999999999,2,2,2,0,8,0.2421845127282564,0.0
10016,NC=[NH+][C-](C#N)C#N,3.6267702362762275,1.8133851181381138,3.1381629283176453,2.715381985371823,108.104,-2.3668499999999995,87.57,2,2,1,0,8,0.22344979019219213,0.0
10785,[NH2+]=C1O[CH-]C(=O)C=C1,2.964839070116265,1.4824195350581324,3.140857337668171,3.327325558751876,111.09999999999998,-1.9814999999999998,55.800000000000004,2,1,0,1,8,0.394257578547596,0.0
12585,NC1=NCC(=O)C1=O,3.1874674364744764,1.5937337182372382,4.70144754140342,6.9345364070655835,112.08799999999998,-1.5046,72.52,4,1,0,0,8,0.38724228561755214,0.25
12617,CC1C=CC(=O)C1=O,3.743995638452524,1.871997819226262,4.488625439540001,5.381351978501016,110.112,0.3305,34.14,2,0,0,0,8,0.4209603183387509,0.3333333333333333
12653,CC1NCC(=O)C1=O,3.83303847271726,1.91651923635863,4.612132464408367,5.549583188548048,113.11599999999999,-0.8837000000000002,46.17,3,1,0,0,8,0.41466264462752483,0.6
12654,CC1OCC(=O)C1=O,3.645083239218785,1.8225416196093924,4.73209107707272,6.143257778253225,114.09999999999998,-0.4567000000000001,43.370000000000005,3,0,0,0,8,0.40020163724110946,0.6
13588,CN1CC1C(=O)C=O,3.598947917402187,1.7994739587010935,4.6057307728226276,5.894154747045417,113.11599999999999,-0.9316000000000002,37.15,3,0,2,0,8,0.26353424481565746,0.6
16607,O=C1CN2CC2C1=O,3.69034915452888,1.84517457726444,4.534042426881384,5.570622146560781,111.09999999999998,-1.1776,37.15,3,0,0,0,8,0.29154019600418773,0.6
20482,C1OC2=C(O1)N=NO2,5.165784029265079,2.5828920146325394,3.4746107407465145,2.3370934075671417,114.06,-0.2017000000000001,57.38,5,0,0,1,8,0.4670046204054098,0.3333333333333333
21134,CN=C1NN=CC=N1,3.7673393161331905,1.8836696580665953,3.951802305094433,4.145297290231544,110.11999999999999,-0.6648000000000005,53.93,3,1,0,1,8,0.4814615414513411,0.25
21364,N1C=CC2=C1ON=N2,5.487299860894957,2.7436499304474786,3.398438529754804,2.104748188235212,109.08800000000001,0.5509,54.71,3,1,0,2,8,0.5370668166104893,0.0
21398,N=C1N=CN=NC=N1,2.2682377455266227,1.1341188727633114,5.1596439263046845,11.736832040096369,109.092,-1.2539300000000002,75.41,5,1,0,1,8,0.45112201037712024,0.0
21644,NC1=NNC(=N)C=N1,3.5249112394099944,1.7624556197049972,3.3903574740860987,3.2609399276718936,111.10799999999999,-1.1336300000000004,91.44,4,3,0,1,8,0.39511123841144535,0.0
21645,NC1=NNC(=N)N=C1,3.526778817749819,1.7633894088749096,3.5390142870550556,3.55129220492791,111.10799999999999,-1.1336300000000004,91.44,4,3,0,1,8,0.39511123841144535,0.0
21703,NC=[NH+]C1=CN=N[N-]1,3.7485181710799083,1.8742590855399541,3.439622325267158,3.156180976193018,111.108,-2.8670999999999998,79.87,2,2,1,1,8,0.3014169707634652,0.0
21706,NC=[NH+]C1=NC=N[N-]1,3.681518323764763,1.8407591618823815,3.3541089280330603,3.0558171145014588,111.108,-2.8670999999999998,79.87,2,2,1,1,8,0.3014169707634652,0.0
21741,O1C=CC2=C1ON=N2,5.6120779412512976,2.8060389706256488,3.8798931185615833,2.6823523780400502,110.072,0.8157999999999999,52.06,4,0,0,2,8,0.5032567358883028,0.0
21769,O=C1C=CN=NC=C1,3.3976683521647257,1.6988341760823629,4.851167984853628,6.926464968917556,108.1,-0.1632,42.85,3,0,0,1,8,0.4633216081783914,0.0
21770,O=C1N=CN=NC=N1,2.184472017800128,1.092236008900064,5.358810695368449,13.145900627152267,110.076,-1.3732000000000002,68.63,5,0,0,1,8,0.41166254147036513,0.0
21783,O=CC1=CN=NC=N1,3.600444801672184,1.800222400836092,4.9003050911782,6.669450945470524,109.088,-0.31590000000000007,55.74,4,0,1,1,8,0.4637375140737505,0.0
21891,OC1=NNC(=N)C=N1,3.834731477324787,1.9173657386623935,3.872914390754861,3.9114774963539642,112.092,-1.0102300000000002,85.65,4,3,0,1,8,0.4016137695749654,0.0
22001,ON=C1C=CC=CC=C1,5.130627055226074,2.565313527613037,3.209286183460143,2.007457898709876,121.13899999999997,0.9765,32.59,2,1,0,1,9,0.4024160078900727,0.0
22029,ON=C1C=CN=NC=C1,3.330192186384488,1.665096093192244,4.234354010690974,5.383999746669471,123.115,-0.23350000000000004,58.370000000000005,4,1,0,1,9,0.3825288285647286,0.0
22054,CC(=N[O-])C#CC(N)=[NH2+],2.63406761188993,1.317033805944965,2.7992541618208744,2.9747998218046203,125.13100000000001,-1.9351999999999991,87.03,2,2,0,0,9,0.1707202295835778,0.2
