Model,Metric,Target,Mean,Std
Random Forest,RMSE,pce_pcbm(%),18.1990410162807,6.525866448163304
Random Forest,RMSE,voc_pcbm(V),18.1990410162807,6.525866448163304
Random Forest,RMSE,jsc_pcbm(A.m-2),18.1990410162807,6.525866448163304
Random Forest,MAE,pce_pcbm(%),-2.8396175118357943,0.3676267528213802
Random Forest,MAE,voc_pcbm(V),-2.8396175118357943,0.3676267528213802
Random Forest,MAE,jsc_pcbm(A.m-2),-2.8396175118357943,0.3676267528213802
Random Forest,R²,pce_pcbm(%),0.1847111154929755,0.0735186596521465
Random Forest,R²,voc_pcbm(V),0.1847111154929755,0.0735186596521465
Random Forest,R²,jsc_pcbm(A.m-2),0.1847111154929755,0.0735186596521465
Random Forest,R,pce_pcbm(%),0.3074231292260179,0.058088036627253654
Random Forest,R,voc_pcbm(V),0.3074231292260179,0.058088036627253654
Random Forest,R,jsc_pcbm(A.m-2),0.3074231292260179,0.058088036627253654
XGBoost,RMSE,pce_pcbm(%),18.094411260933263,8.319196354038272
XGBoost,RMSE,voc_pcbm(V),18.094411260933263,8.319196354038272
XGBoost,RMSE,jsc_pcbm(A.m-2),18.094411260933263,8.319196354038272
XGBoost,MAE,pce_pcbm(%),-2.716692184045779,0.7820617309466456
XGBoost,MAE,voc_pcbm(V),-2.716692184045779,0.7820617309466456
XGBoost,MAE,jsc_pcbm(A.m-2),-2.716692184045779,0.7820617309466456
XGBoost,R²,pce_pcbm(%),0.21150926351591814,0.15807873459600208
XGBoost,R²,voc_pcbm(V),0.21150926351591814,0.15807873459600208
XGBoost,R²,jsc_pcbm(A.m-2),0.21150926351591814,0.15807873459600208
XGBoost,R,pce_pcbm(%),0.366467074708717,0.16396797503394428
XGBoost,R,voc_pcbm(V),0.366467074708717,0.16396797503394428
XGBoost,R,jsc_pcbm(A.m-2),0.366467074708717,0.16396797503394428
LightGBM,RMSE,pce_pcbm(%),16.16366909098995,7.1182518596697335
LightGBM,RMSE,voc_pcbm(V),16.16366909098995,7.1182518596697335
LightGBM,RMSE,jsc_pcbm(A.m-2),16.16366909098995,7.1182518596697335
LightGBM,MAE,pce_pcbm(%),-2.787954523061043,0.33376728342822554
LightGBM,MAE,voc_pcbm(V),-2.787954523061043,0.33376728342822554
LightGBM,MAE,jsc_pcbm(A.m-2),-2.787954523061043,0.33376728342822554
LightGBM,R²,pce_pcbm(%),0.2888208077777471,0.0856279657638808
LightGBM,R²,voc_pcbm(V),0.2888208077777471,0.0856279657638808
LightGBM,R²,jsc_pcbm(A.m-2),0.2888208077777471,0.0856279657638808
LightGBM,R,pce_pcbm(%),0.5148083705339412,0.10444406277831726
LightGBM,R,voc_pcbm(V),0.5148083705339412,0.10444406277831726
LightGBM,R,jsc_pcbm(A.m-2),0.5148083705339412,0.10444406277831726
Gradient Boosting,RMSE,pce_pcbm(%),17.369003634025248,7.019601141192464
Gradient Boosting,RMSE,voc_pcbm(V),17.369003634025248,7.019601141192464
Gradient Boosting,RMSE,jsc_pcbm(A.m-2),17.369003634025248,7.019601141192464
Gradient Boosting,MAE,pce_pcbm(%),-2.6466826382181288,0.440212824944709
Gradient Boosting,MAE,voc_pcbm(V),-2.6466826382181288,0.440212824944709
Gradient Boosting,MAE,jsc_pcbm(A.m-2),-2.6466826382181288,0.440212824944709
Gradient Boosting,R²,pce_pcbm(%),0.19672304169982877,0.08679737815594107
Gradient Boosting,R²,voc_pcbm(V),0.19672304169982877,0.08679737815594107
Gradient Boosting,R²,jsc_pcbm(A.m-2),0.19672304169982877,0.08679737815594107
Gradient Boosting,R,pce_pcbm(%),0.37778517679883195,0.09404407305766718
Gradient Boosting,R,voc_pcbm(V),0.37778517679883195,0.09404407305766718
Gradient Boosting,R,jsc_pcbm(A.m-2),0.37778517679883195,0.09404407305766718
Ridge,RMSE,pce_pcbm(%),20.936958380070276,4.712584790942895
Ridge,RMSE,voc_pcbm(V),20.936958380070276,4.712584790942895
Ridge,RMSE,jsc_pcbm(A.m-2),20.936958380070276,4.712584790942895
Ridge,MAE,pce_pcbm(%),-4.813279757260259,0.2203173378513939
Ridge,MAE,voc_pcbm(V),-4.813279757260259,0.2203173378513939
Ridge,MAE,jsc_pcbm(A.m-2),-4.813279757260259,0.2203173378513939
Ridge,R²,pce_pcbm(%),-0.3920398986211854,0.4938276910088556
Ridge,R²,voc_pcbm(V),-0.3920398986211854,0.4938276910088556
Ridge,R²,jsc_pcbm(A.m-2),-0.3920398986211854,0.4938276910088556
Ridge,R,pce_pcbm(%),0.3597321609595622,0.06370911653050636
Ridge,R,voc_pcbm(V),0.3597321609595622,0.06370911653050636
Ridge,R,jsc_pcbm(A.m-2),0.3597321609595622,0.06370911653050636
Lasso,RMSE,pce_pcbm(%),17.393794938398372,7.219090254433136
Lasso,RMSE,voc_pcbm(V),17.393794938398372,7.219090254433136
Lasso,RMSE,jsc_pcbm(A.m-2),17.393794938398372,7.219090254433136
Lasso,MAE,pce_pcbm(%),-3.0446440241487522,0.42126285988559153
Lasso,MAE,voc_pcbm(V),-3.0446440241487522,0.42126285988559153
Lasso,MAE,jsc_pcbm(A.m-2),-3.0446440241487522,0.42126285988559153
Lasso,R²,pce_pcbm(%),-0.009994463486670222,0.007632561313478869
Lasso,R²,voc_pcbm(V),-0.009994463486670222,0.007632561313478869
Lasso,R²,jsc_pcbm(A.m-2),-0.009994463486670222,0.007632561313478869
Lasso,R,pce_pcbm(%),0.3243535101337872,0.040833223201066735
Lasso,R,voc_pcbm(V),0.3243535101337872,0.040833223201066735
Lasso,R,jsc_pcbm(A.m-2),0.3243535101337872,0.040833223201066735
Linear Regression,RMSE,pce_pcbm(%),29.595267854901522,3.72943365258801
Linear Regression,RMSE,voc_pcbm(V),29.595267854901522,3.72943365258801
Linear Regression,RMSE,jsc_pcbm(A.m-2),29.595267854901522,3.72943365258801
Linear Regression,MAE,pce_pcbm(%),-7.744864056325442,0.40240682778375986
Linear Regression,MAE,voc_pcbm(V),-7.744864056325442,0.40240682778375986
Linear Regression,MAE,jsc_pcbm(A.m-2),-7.744864056325442,0.40240682778375986
Linear Regression,R²,pce_pcbm(%),-2.3577501887831986,1.1712166794511685
Linear Regression,R²,voc_pcbm(V),-2.3577501887831986,1.1712166794511685
Linear Regression,R²,jsc_pcbm(A.m-2),-2.3577501887831986,1.1712166794511685
Linear Regression,R,pce_pcbm(%),0.26969446066269126,0.073010690364909
Linear Regression,R,voc_pcbm(V),0.26969446066269126,0.073010690364909
Linear Regression,R,jsc_pcbm(A.m-2),0.26969446066269126,0.073010690364909
