No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference,fp,desc,MW,ExactMolWt,LogP,HBA,HBD,TPSA,AromaticRings,RotatableBonds,HeavyAtoms,QED,FractionCSP3,RingCount,pIC50_pred,IC50_pred_nM
1,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)[H],8.287779590057651,Inactive,232.31,2,2,3,4,1.285,72.19,0.279746515,-765.0037552,4.082,-0.20209,-0.02786,0.17423,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-72,[0 0 0 ... 0 0 0],"[232.283, 232.121177752, 1.3531999999999995, 3, 2, 72.19, 1, 2, 17, 0.5969362176118972, 0.38461538461538464, 2]",232.283,232.121177752,1.3531999999999995,3,2,72.19,1,2,17,0.5969362176118972,0.38461538461538464,2,8.30792185803158,4.921280755977949
2,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)C,8.347284794632522,Inactive,246.34,2,2,2,4,1.491,63.4,0.266307833,-804.3133762,3.5147,-0.20061,-0.02513,0.17548,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-73,[0 0 0 ... 0 0 0],"[246.30999999999997, 246.136827816, 1.6954, 3, 1, 63.4, 1, 2, 18, 0.6377623317255606, 0.42857142857142855, 2]",246.30999999999997,246.136827816,1.6954,3,1,63.4,1,2,18,0.6377623317255606,0.42857142857142855,2,8.331772631059023,4.658299085770226
3,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CC,8.341717423968634,Inactive,260.37,3,2,2,4,1.84,63.4,0.260490282,-843.6297884,3.4409,-0.20041,-0.02487,0.17554,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-74,[0 0 0 ... 0 0 0],"[260.337, 260.15247788, 2.0854999999999997, 3, 1, 63.4, 1, 3, 19, 0.6682584507029834, 0.4666666666666667, 2]",260.337,260.15247788,2.0854999999999997,3,1,63.4,1,3,19,0.6682584507029834,0.4666666666666667,2,8.322243550392136,4.761638813536154
4,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCC,8.275639738301319,Inactive,274.4,4,2,2,4,2.364,63.4,0.254351286,-882.9436553,3.3887,-0.20029,-0.02451,0.17578,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-75,[0 0 0 ... 0 0 0],"[274.36400000000003, 274.168127944, 2.475600000000001, 3, 1, 63.4, 1, 4, 20, 0.6773851595423633, 0.5, 2]",274.36400000000003,274.168127944,2.475600000000001,3,1,63.4,1,4,20,0.6773851595423633,0.5,2,8.284999008140325,5.188012237872707
5,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCC,8.255484686147076,Inactive,288.43,5,2,2,4,2.82,63.4,0.2489596,-922.2559103,3.3545,-0.20019,-0.02435,0.17584,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-76,[0 0 0 ... 0 0 0],"[288.3910000000001, 288.183778008, 2.8657000000000012, 3, 1, 63.4, 1, 5, 21, 0.6690854838865019, 0.5294117647058824, 2]",288.3910000000001,288.183778008,2.8657000000000012,3,1,63.4,1,5,21,0.6690854838865019,0.5294117647058824,2,8.279338662862052,5.256072379868812
6,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCC,8.2856320052432,Inactive,302.46,6,2,2,4,3.276,63.4,0.244476583,-961.5659108,3.3565,-0.20017,-0.02465,0.17552,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-77,[0 0 0 ... 0 0 0],"[302.4180000000001, 302.199428072, 3.2558000000000025, 3, 1, 63.4, 1, 6, 22, 0.49820138394346425, 0.5555555555555556, 2]",302.4180000000001,302.199428072,3.2558000000000025,3,1,63.4,1,6,22,0.49820138394346425,0.5555555555555556,2,8.275190144188297,5.306520615938213
7,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCC,8.236880613624288,Inactive,316.49,7,2,2,4,3.732,63.4,0.241038176,-1000.875988,3.4609,-0.20056,-0.02583,0.17473,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-78,[0 0 0 ... 0 0 0],"[316.44500000000016, 316.215078136, 3.645900000000003, 3, 1, 63.4, 1, 7, 23, 0.47430939390798, 0.5789473684210527, 2]",316.44500000000016,316.215078136,3.645900000000003,3,1,63.4,1,7,23,0.47430939390798,0.5789473684210527,2,8.264630812402384,5.437123372614806
8,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCCC,8.250280008800894,Inactive,330.52,8,2,2,4,4.188,63.4,0.236312148,-1040.191691,3.3053,-0.20005,-0.0239,0.17615,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-79,[0 0 0 ... 0 0 0],"[330.4720000000002, 330.2307282, 4.036000000000003, 3, 1, 63.4, 1, 8, 24, 0.4444036007682271, 0.6, 2]",330.4720000000002,330.2307282,4.036000000000003,3,1,63.4,1,8,24,0.4444036007682271,0.6,2,8.259940679339165,5.496159412499693
9,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCCCC,8.236880613624288,Inactive,344.55,9,2,2,4,4.645,63.4,0.233669175,-1079.507784,3.509,-0.2011,-0.02705,0.17405,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-80,[0 0 0 ... 0 0 0],"[344.49900000000025, 344.246378264, 4.426100000000004, 3, 1, 63.4, 1, 9, 25, 0.40944071297409945, 0.6190476190476191, 2]",344.49900000000025,344.246378264,4.426100000000004,3,1,63.4,1,9,25,0.40944071297409945,0.6190476190476191,2,8.262021967850702,5.4698829396979916
11,Non-Steroid,O=C1N(CC(C)=O)C(CCC1(CC)C2=CC=C(N)C=C2)=O,8.316600916799707,Inactive,288.38,4,2,2,5,1.146,80.47,0.277914439,-956.9580187,0.9267,-0.20029,-0.02343,0.17686,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-81,[0 0 0 ... 0 0 0],"[288.347, 288.14739249999997, 1.6546, 4, 1, 80.47, 1, 4, 21, 0.6745673119443948, 0.4375, 2]",288.347,288.14739249999997,1.6546,4,1,80.47,1,4,21,0.6745673119443948,0.4375,2,8.313471003660114,4.858799703790103
12,Steroid,CC12C(C(CC3C2CCC4(C)C3CCC4=O)=O)=CC(OC=O)CC1,8.366427528603348,Inactive,330.46,2,4,0,4,2.524,60.44,0.21583812,-1078.657224,7.0237,-0.24364,-0.05752,0.18612,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-311,[0 0 0 ... 0 0 0],"[330.4240000000001, 330.18310931199994, 3.238900000000002, 4, 0, 60.440000000000005, 0, 2, 24, 0.7293620693449865, 0.75, 4]",330.4240000000001,330.18310931199994,3.238900000000002,4,0,60.440000000000005,0,2,24,0.7293620693449865,0.75,4,8.314664916941881,4.845460784378773
13,Steroid,CC12C(C(CC3C2CCC4(C)C3CCC4=O)=O)=CC(OC(C)=O)CC1,8.261101686010912,Inactive,344.49,2,4,0,4,2.571,60.44,0.229051377,-1117.990586,2.6763,-0.23947,-0.0491,0.19037,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-312,[0 0 0 ... 0 0 0],"[344.45100000000014, 344.19875937599994, 3.629000000000003, 4, 0, 60.440000000000005, 0, 1, 25, 0.6816293019238052, 0.7619047619047619, 4]",344.45100000000014,344.19875937599994,3.629000000000003,4,0,60.440000000000005,0,1,25,0.6816293019238052,0.7619047619047619,4,8.245405363930791,5.683222198000628
17,Steroid,CC12CCCC=C1C(CC3C2CCC4(C3CCC4=O)C)=O,8.238857977398489,Inactive,286.45,0,4,0,2,3.294,34.14,0.206658234,-890.1128367,4.5421,-0.23207,-0.03819,0.19388,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-313,[0 0 0 ... 0 0 0],"[286.41499999999996, 286.193280072, 4.087400000000003, 2, 0, 34.14, 0, 0, 21, 0.6719379087230692, 0.7894736842105263, 4]",286.41499999999996,286.193280072,4.087400000000003,2,0,34.14,0,0,21,0.6719379087230692,0.7894736842105263,4,8.235477577146685,5.814634527984089
18,Steroid,C[C@@]12C([C@@H](CCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.414102717872563,Inactive,376.63,3,5,0,1,6.632,17.07,0.184103,-1125.784825,4.5716,-0.22907,-0.04191,0.18716,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-8,[0 0 0 ... 0 0 0],"[376.58400000000023, 376.27661577199996, 6.767300000000007, 1, 0, 17.07, 1, 3, 28, 0.5688608043996504, 0.6666666666666666, 5]",376.58400000000023,376.27661577199996,6.767300000000007,1,0,17.07,1,3,28,0.5688608043996504,0.6666666666666666,5,8.442896976666226,3.6066418963094558
19,Steroid,C[C@@]12C([C@@H](CCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.468784292915547,Inactive,390.66,4,5,0,1,7.088,17.07,0.183352821,-1165.098418,4.5741,-0.22838,-0.04106,0.18732,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-9,[0 0 0 ... 0 0 0],"[390.6110000000003, 390.29226583599996, 7.157400000000007, 1, 0, 17.07, 1, 4, 29, 0.5329366933925441, 0.6785714285714286, 5]",390.6110000000003,390.29226583599996,7.157400000000007,1,0,17.07,1,4,29,0.5329366933925441,0.6785714285714286,5,8.428056088306784,3.7320195635998443
20,Steroid,C[C@@]12C([C@@H](CCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.459855661348179,Inactive,404.69,5,5,0,1,7.544,17.07,0.182803286,-1204.410682,4.5546,-0.22818,-0.04088,0.1873,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-10,[0 0 0 ... 0 0 0],"[404.6380000000003, 404.30791589999995, 7.547500000000007, 1, 0, 17.07, 1, 5, 30, 0.4630286475587707, 0.6896551724137931, 5]",404.6380000000003,404.30791589999995,7.547500000000007,1,0,17.07,1,5,30,0.4630286475587707,0.6896551724137931,5,8.429514150119958,3.7195110210754607
21,Steroid,C[C@@]12C([C@@H](CCCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.487874574224758,Inactive,418.72,6,5,0,1,8.0,17.07,0.182626068,-1243.720665,4.3153,-0.22834,-0.04102,0.18732,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-11,[0 0 0 ... 0 0 0],"[418.66500000000036, 418.32356596399995, 7.937600000000008, 1, 0, 17.07, 1, 6, 31, 0.428495652222561, 0.7, 5]",418.66500000000036,418.32356596399995,7.937600000000008,1,0,17.07,1,6,31,0.428495652222561,0.7,5,8.454990698245508,3.50759386465148
22,Steroid,C[C@@]12C([C@H](CCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.525957094677969,Inactive,376.63,3,5,0,1,6.632,17.07,0.185752359,-1125.768533,4.495,-0.2276,-0.04198,0.18562,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-12,[0 0 0 ... 0 0 0],"[376.58400000000023, 376.27661577199996, 6.767300000000007, 1, 0, 17.07, 1, 3, 28, 0.5688608043996504, 0.6666666666666666, 5]",376.58400000000023,376.27661577199996,6.767300000000007,1,0,17.07,1,3,28,0.5688608043996504,0.6666666666666666,5,8.442896976666226,3.6066418963094558
23,Steroid,C[C@@]12C([C@H](CCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.451291028989324,Inactive,390.66,4,5,0,1,7.088,17.07,0.183647642,-1165.092657,4.4677,-0.22761,-0.04143,0.18618,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-13,[0 0 0 ... 0 0 0],"[390.6110000000003, 390.29226583599996, 7.157400000000007, 1, 0, 17.07, 1, 4, 29, 0.5329366933925441, 0.6785714285714286, 5]",390.6110000000003,390.29226583599996,7.157400000000007,1,0,17.07,1,4,29,0.5329366933925441,0.6785714285714286,5,8.428056088306784,3.7320195635998443
24,Steroid,C[C@@]12C([C@H](CCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.412326492307123,Inactive,404.69,5,5,0,1,7.544,17.07,0.184608186,-1204.394614,4.4995,-0.22757,-0.04153,0.18604,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-14,[0 0 0 ... 0 0 0],"[404.6380000000003, 404.30791589999995, 7.547500000000007, 1, 0, 17.07, 1, 5, 30, 0.4630286475587707, 0.6896551724137931, 5]",404.6380000000003,404.30791589999995,7.547500000000007,1,0,17.07,1,5,30,0.4630286475587707,0.6896551724137931,5,8.429514150119958,3.7195110210754607
25,Steroid,C[C@@]12C([C@H](CCCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,8.475371863557278,Inactive,418.72,6,5,0,1,8.0,17.07,0.184413507,-1243.704504,4.6418,-0.22755,-0.0415,0.18605,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-15,[0 0 0 ... 0 0 0],"[418.66500000000036, 418.32356596399995, 7.937600000000008, 1, 0, 17.07, 1, 6, 31, 0.428495652222561, 0.7, 5]",418.66500000000036,418.32356596399995,7.937600000000008,1,0,17.07,1,6,31,0.428495652222561,0.7,5,8.454990698245508,3.50759386465148
