Id,Log File,SMILES,GAP_DFT(eV),HOMO_DFT(eV),LUMO_DFT(eV),Total Energy (eV),Electronic Energy (eV),Nuclear Repulsion Energy (eV),Gsolv (eV),Dipole (D),Hardness η (eV),Chemical Potential μ (eV),Electrophilicity ω (eV),MW,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms,QED,FractionCSP3
100076,gdb 100076_xtb1_opt.log,CC(C)(C[NH3+])CC([O-])=O,7.2814200578032935,-6.215296515560654,1.0661235422426394,-831.4595086846997,-840.814534419449,9.36580470223122,-0.47848439941064896,8.352,3.6407100289016467,2.5745864866590074,0.9103300626343619,131.17499999999998,-1.6054999999999988,67.77000000000001,2,1,3,0,9,0.5006431879048691,0.8333333333333334
10016,gdb 10016_xtb1_opt.log,NC=[NH+][C-](C#N)C#N,3.6267702362762275,-4.951548046455759,-1.3247778101795316,-603.8690611900473,-614.9853645460296,11.118546719435942,-0.7218056394595905,12.7,1.8133851181381138,3.1381629283176453,2.715381985371823,108.104,-2.3668499999999995,87.57,2,2,1,0,8,0.22344979019219213,0.0
100443,gdb 100443_xtb1_opt.log,CC(C[NH3+])C#CC([O-])=O,6.007352251523419,-6.842676279973764,-0.8353240284503455,-773.6093539302941,-784.3731225994192,10.764444343813114,-0.4396269441543258,8.109,3.0036761257617095,3.8390001542120546,2.45331413357736,127.14299999999997,-2.382299999999999,67.77000000000001,2,1,1,0,9,0.3994813989995671,0.5
100457,gdb 100457_xtb1_opt.log,[NH3+]CC(O)C#CC([O-])=O,5.609258611781524,-6.773616236429269,-1.1643576246477447,-797.7935429682557,-807.3681561914602,9.575440107020343,-0.41612205571862726,5.848,2.804629305890762,3.968986930538507,2.808367084680074,129.115,-3.6574999999999984,88.0,3,2,1,0,9,0.35758935801565506,0.4
100710,gdb 100710_xtb1_opt.log,CC(C[NH3+])C(O)C([O-])=O,7.096633336230531,-6.2923834803045064,0.8042498559260245,-855.6263993945538,-863.7756909805149,8.175235009421403,-0.47800259714043775,8.477,3.5483166681152656,2.744066812189241,1.0610527996868482,133.14699999999996,-3.0247999999999986,88.0,3,2,3,0,9,0.42910338764875156,0.8
101556,gdb 101556_xtb1_opt.log,CCN(C)CC(=O)C=O,3.013376063670483,-5.564230550783604,-2.5508544871131207,-801.9208122108388,-811.0219859748515,9.102197811599513,-0.37589325349322034,2.5,1.5066880318352416,4.057542518948362,5.463523617765799,129.159,-0.29390000000000027,37.38,3,0,4,0,9,0.38628870447630553,0.6666666666666666
102015,gdb 102015_xtb1_opt.log,C[NH2+][C-](C=O)C(=O)C=O,4.104836336186372,-6.038678166734482,-1.9338418305481102,-798.046860219311,-806.2000314300755,8.16924281266418,-0.5552302847659321,6.404,2.052418168093186,3.9862599986412963,3.8711089737455104,129.11499999999998,-2.32151,67.82,3,1,4,0,9,0.20036146217270112,0.2
103798,gdb 103798_xtb1_opt.log,CC1(C[NH3+])CC1C([O-])=O,7.157737325983452,-6.766578553454928,0.3911587725285233,-802.7628739187007,-812.1486669764012,9.387446819018933,-0.4092692510409029,6.09,3.578868662991726,3.187709890463202,1.4196517534765447,129.159,-1.995599999999999,67.77000000000001,2,1,2,0,9,0.4684715211145848,0.8333333333333334
103799,gdb 103799_xtb1_opt.log,CC1(C[NH3+])NC1C([O-])=O,6.876322270984069,-6.5950497334522415,0.28127253753182774,-809.7354503096394,-818.4158963214317,8.682778093017491,-0.4201688217257414,7.311,3.4381611354920345,3.156888597960207,1.4493133432655327,130.147,-3.291299999999998,89.71000000000001,3,2,2,0,9,0.38374005321393856,0.8
10785,gdb 10785_xtb1_opt.log,[NH2+]=C1O[CH-]C(=O)C=C1,2.964839070116265,-4.623276872726303,-1.6584378026100386,-660.4981816394429,-668.5343835159226,8.037568388339187,-0.5536263071135357,10.448,1.4824195350581324,3.140857337668171,3.327325558751876,111.09999999999998,-1.9814999999999998,55.800000000000004,2,1,0,1,8,0.394257578547596,0.0
