smiles_key,SMILES,HO(eV),HOMO_xtb(eV),HOMO_HF(eV),HOMO_DFT(eV),op_time,LUMO(eV),LUMO_xtb(eV),LUMO_HF(eV),LUMO_DFT(eV),xtb_time,GAP(eV),GAP_xtb(eV),GAP_HF(eV),GAP_DFT(eV),crest_time,xtb1_times,TotalE,dft_hf_op_time,dft_hf_pre_opt_time,dft_hf_crest_time,dft_hf_opt_time,Times
gdb 18,CC(C)=O,-6.615087996399682,-10.909,-11.074099572920913,-6.590544887476989,0.08133101463317871,-0.23673906034009554,-6.8242,4.019454735894349,-0.56217891532124,0.907515287399292,6.378348936059586,4.084768242896,15.09355430881526,6.028365972155749,1.8862760066986084,3.382490873336792,-8497.1950301289,16.34890866279602,17.76244592666626,17.118474006652832,16.97419548034668,6.257613182067871
gdb 215,C1=CC=NC=C1,-6.851827056739778,-10.0214,-9.338919125753435,-6.908166427988725,0.13943886756896973,-0.6122561905347299,-6.8002,3.2955819673776774,-0.6876041278764464,1.068674087524414,6.239570866205048,3.221261844324,12.634501093131112,6.220562300112278,2.0774950981140137,1.2195122241973877,-10138.406570606476,27.023053407669067,26.59233069419861,27.258238554000854,26.55667471885681,4.505120277404785
gdb 749,CN1N=CC=N1,-7.039585621837094,-10.9616,-9.6225633954347,-6.9752589111380905,0.10706639289855957,-0.029932524870586796,-6.4822,3.8931721829850487,-0.23043358770676348,1.1384844779968262,7.012374235591106,4.479468581403,13.515735578419749,6.744825323431327,2.037773370742798,1.3001830577850342,-11123.242989517834,27.866788387298584,27.72884702682495,27.513524293899536,27.559805154800415,4.583507299423218
gdb 1380,N=CNC(=N)C=O,-6.884480720234963,-10.6435,-9.974516870330785,-6.9984522427139035,0.14728569984436035,-2.4245345145175303,-8.7738,2.16737921957013,-2.1809423525964284,1.3626248836517334,4.459946205717432,1.869696258635,12.141896089900914,4.817509890117475,2.268430709838867,1.6532433032989502,-13646.852146169827,70.94739866256714,71.11341857910156,70.94949316978455,70.5704357624054,5.431584596633911
gdb 1392,CC#CC(C)C=O,-6.606924580525885,-10.7485,-10.163560364911977,-6.75410509109214,0.1494600772857666,-0.6966114878972928,-7.3289,3.7989658908705746,-0.9417423918890321,3.8441162109375,5.910313092628592,3.419640793302,13.962526255782551,5.812362699203108,3.015923261642456,4.594390392303467,-13125.231225530013,79.75248527526855,79.14169955253601,80.36488246917725,80.24759721755981,11.60388994216919
gdb 1445,CCC(=O)NC=N,-7.012374235591106,-10.4619,-10.280645580927859,-6.98145079438369,0.13783049583435059,-0.394565100566826,-7.0516,3.959234263428475,-0.5603710681289076,1.4078834056854248,6.61780913502428,3.410252020996,14.239879844356334,6.421079726254782,2.999063730239868,5.080021381378174,-14153.567785578456,80.29038834571838,79.41552901268005,84.1516809463501,84.15890789031982,9.624799013137817
gdb 1590,CC(=O)C(O)C#C,-7.134825473698052,-11.2329,-10.275939896605497,-6.950179771908708,0.1220402717590332,-0.9932155979785617,-7.4854,3.2970863926648413,-1.2148125279138475,3.493807792663574,6.141609875719491,3.74751906999,13.573026289270338,5.73536724399486,2.7862069606781006,5.137105703353882,-13686.740292981269,83.6757242679596,78.73604440689087,78.24702572822571,78.97256517410278,11.53916072845459
gdb 1647,CNC(=N)C(C)=O,-6.174263539214676,-10.3427,-9.628894761326311,-6.34096180039849,0.21692562103271484,-1.5183953525261302,-7.5089,2.7664978436998617,-1.480397394213424,1.1697065830230713,4.655868186688546,2.833838363683,12.395392605026172,4.860564406185066,3.125013589859009,7.03241753578186,-14139.027289509606,83.77418255805969,84.02022457122803,87.3124475479126,86.70165205001831,11.544063329696655
gdb 1943,N=C1CC(O1)C=O,-7.2273441869344115,-10.9437,-10.950227703690446,-7.253258050886584,0.16214966773986816,-1.17825302445128,-8.138,2.970736919825035,-1.6787936532705232,3.9739363193511963,6.0463700238585325,2.805689647996,13.92096462351548,5.57446439761606,2.3920514583587646,4.275604963302612,-13874.09725969975,72.73962163925171,73.45633482933044,73.6580171585083,73.71470212936401,10.803742408752441
gdb 2322,CC1CN1CC=O,-6.508963590040328,-9.8187,-10.267894362314989,-6.554113236946871,0.19649553298950195,-0.6095350519101311,-7.4088,3.986722665714689,-0.8061774558366459,3.5425808429718018,5.899428538130198,2.409903791014,14.254617028029678,5.747935781110225,4.021278142929077,4.895982980728149,-13954.291816679888,90.70602369308472,92.61350178718567,100.13935256004333,97.00093412399292,12.65633749961853
