smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_HF(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_HF(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_HF(eV),GAP_DFT(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time
gdb 4380,OC1=CN=CC(O)=N1,-6.323926111047999,-7.3872,-8.821139478759182,-6.337653096820087,-1.0775708863920002,-6.2732,2.613395335139249,-1.2142020602944221,5.246355224656,1.113998288861,11.43453481389843,5.1234510365256645,-15366.620310179218,-666.3597195076912,163.0429425239563,0.02777249347085883,0.6656037759073713,0.6662334226906435,0.666778360708917,0.0009656763875023019,0.6698489189147949,0.5460410118103027,22.026872873306274,0.4302830696105957,134.43222332000732,0.0011663436889648438
gdb 14590,O=CNC=NCC#C,-6.957951405314,-7.7873,-8.877091420293603,-5.25515587822919,-0.6149773240519999,-5.4648,2.1214728645525476,-2.1509992066073695,6.34025294266,2.322459672418,10.99856428484615,3.1041566716218205,-14735.340773308111,-638.9848480896917,221.70798754692078,0.694468817174074,1.395633343029371,1.389107173995505,1.7024076234116334,0.02552121071286018,0.42552685737609863,0.9408776760101318,23.041232585906982,0.4223504066467285,193.906635761261,0.001832723617553711
gdb 22022,NC1=CC(C=NO1)=NO,-5.317104828308,-8.0969,-6.908038427172573,-3.7959749600596857,-1.208185539288,-6.3398,1.1693087151902606,-2.1806615882577804,4.10891928902,1.757043415643,8.077347142362834,1.6153133718019053,-17462.363738873057,-757.239755268022,403.5773837566376,0.3978367137255346,0.3633271598178585,0.3441967284525825,0.09849806150767768,0.0246954325450746,0.3959674835205078,1.4003634452819824,33.10738515853882,0.5990402698516846,364.00078439712524,0.0011856555938720703
gdb 24412,C1OC=NC2=C1OC=N2,-6.02732200343,-8.0902,-7.660669894518458,-5.449417464540868,-0.73470742254,-6.8477,2.0440102599777656,-1.8795922294713534,5.29261458089,1.242591078125,9.704680154496224,3.5698252350695148,-16701.367270817274,-724.2398253703541,297.9299964904785,0.23166489612091848,0.23329592294023127,0.23277700662852627,0.002540769257013366,0.0013884725755731748,0.3467738628387451,0.7000613212585449,23.93151617050171,0.3919801712036133,269.19149112701416,0.006325483322143555
gdb 29313,CC1=C(OC=C1N)C#N,-5.951130122574,-7.1936,-7.705140489561766,-5.374673541158754,-0.92518712468,-5.6062,2.228066787000959,-1.2433579088883195,5.025942997894,1.587373218202,9.933207276562726,4.131315632270434,-16105.22148040178,-698.388497383561,409.29704880714417,0.05461905276778957,0.8018675128700392,0.7947515303928951,0.7991954052946885,0.036616530793884244,0.4817163944244385,0.7266035079956055,37.841400146484375,1.321704626083374,364.23781752586365,0.008307456970214844
gdb 42275,O=C(C#N)C1CC2OC12,-7.548438481947999,-9.0785,-11.323785564672354,-7.470215134315559,-2.405486524168,-6.6082,1.0294608254509166,-3.093479501973918,5.14295195778,2.470225575563,12.353246390123271,4.376735632341641,-16467.925324913034,-714.1168245768072,429.9555993080139,0.24262192254722587,0.2530800263990396,0.250890476309421,0.013359020628802468,0.003931586113777187,3.5803921222686768,1.3263964653015137,48.624266147613525,0.6176722049713135,370.63880014419556,0.0013489723205566406
gdb 43049,O=C1C2CN3C2CCC13,-5.861332548708,-7.0659,-9.341106287460835,-5.615523333761695,-0.304767523424,-1.5964,2.929025867388921,-1.6071145248624008,5.556565025284,5.469496776641,12.270132154849756,4.008408808899294,-16580.948498222016,-719.017973205706,560.1001243591309,0.2229061188338531,0.2243538229201166,0.22323989615252757,0.004007233585879205,0.003960011424960568,7.489861488342285,2.1452670097351074,48.04456615447998,2.0105841159820557,491.4503285884857,0.002251863479614258
gdb 45561,O=C1CC2COCC2C1,-6.604203387054,-7.5445,-10.796832747557907,-6.603563321969617,-0.5959293538379999,0.0961,2.4525765244032085,-1.9585212036296509,6.008274033216,7.640588670059,13.249409271961117,4.6450421183399655,-17629.683420284724,-764.495423314934,467.8374001979828,0.19749645040979116,0.5119057240022115,0.5112635389905504,0.4418849874041985,0.0028154040742559543,3.4077467918395996,2.2781715393066406,51.941770792007446,1.0327439308166504,404.62545561790466,0.006108522415161133
gdb 51841,O=CCC1COCC1=O,-6.737539178552,-7.8121,-10.074304673376094,-5.846231833667501,-1.093897718004,-7.5038,2.6951544491510604,-1.7697605247801107,5.643641460547999,0.308316892115,12.769459122527154,4.07647130888739,-18186.779292811163,-788.6533866056453,420.00844383239746,0.6941921947150068,1.35989752965628,1.3589347489205084,1.385045749450922,0.00725470407182415,2.262770414352417,1.453514814376831,39.036975145339966,0.8271458148956299,372.3984365463257,0.002721548080444336
gdb 68005,OC12CC(=O)C3OC1C23,-6.552501753615999,-7.5416,-10.270239723511493,-6.41411519410743,-0.7864090559779999,-3.3874,2.5824895544011035,-1.9065429132708418,5.766092697638,4.154187245935,12.852729277912596,4.507572280836588,-17515.54862548245,-759.5460702161182,459.21749114990234,0.210563182354904,0.358426956379268,0.35345597725661976,0.23824631104283112,0.010474515116524533,2.900484561920166,0.7251465320587158,33.984898805618286,0.6401305198669434,416.8669514656067,0.0010385513305664062
gdb 100494,CCC(C)C#CCC=O,-6.65318388189,-7.3865,-9.804606702668059,-6.593748391639519,-0.712938313724,-4.7055,2.629664065915009,-1.9384169065592878,5.940245568166,2.680960699597,12.434270768583067,4.6553314850802305,-17017.239396118992,-737.9373370266368,524.075332403183,0.49494716618738377,0.5347543897467869,0.5438840328336418,0.24428874583142854,0.01427914523263846,0.44182801246643066,2.4381072521209717,104.38234376907349,1.2411959171295166,411.78553795814514,0.002170562744140625
gdb 110656,CCC1N2C3CC=C1C23,-5.624593490334,-7.9216,-7.072045232395878,-4.6407767754603135,-0.8816489070479999,-2.5129,1.5613018653142154,-2.317187124233654,4.742944583286,5.408654369322,8.633347097710093,2.3235896512266594,-15978.780975208667,-692.9055181809655,579.6680407524109,0.24253475441823777,0.24567406171792278,0.24083708393153852,0.01883254697083426,0.006289380885361882,0.5388412475585938,1.4249773025512695,43.21602511405945,1.1457796096801758,530.0756447315216,0.002462148666381836
gdb 123702,C1C2OC3=C(ON=C3)C12,-5.994668340205999,-7.6982,-8.162947897977073,-5.6752638564328155,-0.391843958688,-5.6254,2.2391091997054953,-1.481464854975907,5.602824381517999,2.072767766916,10.402057097682569,4.193799001456909,-16475.427393370315,-714.4421450527487,413.2494447231293,0.16779243610410188,0.441994872968504,0.43488547179594206,0.5196805516443189,0.007708004702519924,3.5509493350982666,0.7795274257659912,30.31913447380066,0.6475117206573486,373.05906224250793,0.0019943714141845703
gdb 127919,CN=C1NC=NNC1=O,-6.16337893353,-7.827,-8.70386328041363,-5.7531135860711204,-0.93879281769,-6.6049,1.841167152482779,-1.9557357030473714,5.22458611584,1.222142050249,10.545030432896409,3.7973778830237492,-17124.970229538623,-742.6089880787737,383.6272370815277,0.3651219299759155,0.3892037181016347,0.3824586504932948,0.704952165712997,0.020325550155760846,3.506312847137451,0.9715628623962402,35.65377926826477,0.8257720470428467,337.9454426765442,0.0007236003875732422
gdb 132794,NC1=C(F)C=NC=C1O,-5.910313043544,-6.8022,-8.210214725299458,-5.57245856925381,-0.087076435264,-6.0561,3.103871099614031,-0.5633875086232755,5.8259577468820005,0.746086462328,11.314085824913489,5.009071060630534,-17425.525667902177,-755.6423053314801,282.8736026287079,0.13036467907876495,0.12052329504884667,0.11488738906196032,0.2341193641879286,0.01144641407204791,0.5468952655792236,1.042917013168335,28.914883136749268,0.7660539150238037,248.01368713378906,0.0008428096771240234
