smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_HF(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_HF(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_HF(eV),GAP_DFT(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time,xTB_Lin,DFT_Lin,HOMO_ML_calib,LUMO_ML_calib,HOMO_Lin_calib,LUMO_Lin_calib
gdb 4380,OC1=CN=CC(O)=N1,-6.323926111047999,-7.3872,-8.821187761197049,-6.337652776458478,-1.0775708863920002,-6.2732,2.613285144063389,-1.2142989747925748,5.246355224656,1.114004932318,11.43447290526044,5.123353801665903,-15366.620311092249,-666.3597195472839,131.88857674598694,0.2239216516127353,0.4977352140377213,0.4984894341525792,0.4428507357672983,0.0010926850138339,0.0073776245117187,0.4648137092590332,18.87358903884888,0.3495025634765625,108.93151569366456,0.0056257247924804,-6.225101425650591,-6.551823461310342,-16.20838776119705,-3.659914855936611,-5.665910074082684,-1.6878706880214767
gdb 14590,O=CNC=NCC#C,-6.957951405314,-7.5316,-8.115375617863313,-4.519006760454895,-0.6149773240519999,-5.4118,2.545010861821317,-1.7919703010928854,6.34025294266,2.119775146586,10.660386479684629,2.7270364593620093,-14734.079428862551,-638.9301510181184,224.28808307647705,1.325450973612993,1.28906557409244,1.3383035522018838,0.0458847608967096,0.0615319245524689,0.0144996643066406,1.810821533203125,22.26210236549377,0.5286276340484619,196.2364816665649,0.002488374710083,-6.285769238777253,-5.848344830561189,-15.646975617863312,-2.8667891381786834,-5.721578837505271,-1.7106326078488352
gdb 22022,NC1=CC(C=NO1)=NO,-5.317104828308,-8.0963,-6.90930271071426,-3.79865355641628,-1.208185539288,-6.3397,1.1711708726199594,-2.179201355952036,4.10891928902,1.756675239948,8.08047358333422,1.6194522004642442,-17462.36386971694,-757.2397609419498,310.5572030544281,0.5282981443660503,0.5444143611040362,0.5289058887125904,0.0216754313587057,0.0211341689286411,0.0089738368988037,0.8346047401428223,21.292152643203732,0.4921164512634277,284.9366714954376,0.000946044921875,-6.523020721274667,-5.5697017734882,-15.00560271071426,-5.16852912738004,-5.939280712191802,-1.686113469924751
gdb 24412,C1OC=NC2=C1OC=N2,-6.02732200343,-8.0897,-7.660270415999452,-5.449145411980788,-0.73470742254,-6.8477,2.044460365146563,-1.8792989517263865,5.29261458089,1.241995752302,9.704730781146017,3.5698464602544018,-16701.367278765934,-724.2398257150406,280.03934025764465,0.2522157980250314,0.2527941640058129,0.2525493593884858,0.0012852388669594,0.0012033560934407,0.0072741508483886,0.5828778743743896,22.364269495010376,0.5967919826507568,252.10883259773252,0.0010073184967041,-6.5202478156885455,-6.208135938464734,-15.749970415999453,-4.803239634853437,-5.936736295027058,-1.672689909125705
gdb 29313,CC1=C(OC=C1N)C#N,-5.951130122574,-7.1937,-7.705080878104044,-5.37467258475856,-0.92518712468,-5.6065,2.2280635360646066,-1.2433958484812837,5.025942997894,1.587220753599,9.933144414168652,4.131276736277276,-16105.22154101104,-698.3885000118272,292.958425283432,0.3238393248414147,0.6410231140049086,0.6477881826605864,0.7734984719542903,0.0330586330523851,0.0298094749450683,0.9578251838684082,26.611198902130127,0.5717713832855225,261.67056012153625,0.0012681484222412,-6.143804875512021,-6.179328769801183,-14.898780878104045,-3.378436463935393,-5.591312389025408,-1.7054877903536103
gdb 42275,O=C(C#N)C1CC2OC12,-7.548438481947999,-9.0785,-11.323476475604236,-7.4698608518156115,-2.405486524168,-6.6082,1.029521122400297,-3.0935603240748257,5.14295195778,2.470259465719,12.352997598004531,4.376300527740786,-16467.925219756253,-714.1168200167775,311.22563576698303,0.7291587407802569,0.7240632884490663,0.7246733187855299,0.007032876878206,0.0034339664773603,0.0127615928649902,0.8536176681518555,28.356462955474854,0.3876895904541015,278.2427890300751,0.0009520053863525,-6.935679488954781,-6.989777950290895,-20.401976475604236,-5.578678877599703,-6.317936248436021,-1.679018536707145
gdb 43049,O=C1C2CN3C2CCC13,-5.861332548708,-7.1732,-9.31243364294428,-5.645659212279092,-0.304767523424,-1.5784,2.823398624473847,-1.706126999622526,5.556565025284,5.594765708154,12.135832267418127,3.939532212656566,-16581.44902720943,-719.039678196714,471.3347129821777,0.1946364401267039,0.2366334980812666,0.2376818288789788,0.289281628654628,0.0020609043327021,0.0203919410705566,1.6869635581970217,37.15518641471863,1.2285687923431396,426.60292053222656,0.0007381439208984,-6.135192062706643,-6.284150323859507,-16.48563364294428,1.244998624473847,-5.583409275104612,-1.8119276432170692
gdb 45561,O=C1CC2COCC2C1,-6.604203387054,-7.5445,-10.797117206565296,-6.603686804318008,-0.5959293538379999,0.0956,2.452416428311936,-1.958620374812938,6.008274033216,7.640036893168,13.249533634877231,4.64506642950507,-17629.683549905592,-764.4954289358268,417.071715593338,0.3434794149685132,0.3560954055950653,0.3561454744709902,0.015030217491156,0.0029775443921376,0.0157477855682373,2.3643898963928223,48.18423175811768,1.084133863449097,360.7984480857849,0.0088582038879394,-6.291189008786491,-6.6547292780577685,-18.341617206565296,2.548016428311936,-5.72655201650909,-1.8561619754564451
gdb 51841,O=CCC1COCC1=O,-6.737539178552,-7.5263,-9.779054111589824,-5.4468531038200965,-1.093897718004,-7.1244,3.510329959881933,-1.1351135050747954,5.643641460547999,0.401912754578,13.289384071471758,4.3117395987453015,-18180.63993164599,-788.387158710285,424.874641418457,0.6083073165177614,0.9441061145927886,0.92869358397581,0.5002991763476246,0.0241117735428434,0.03005051612854,2.3399901390075684,39.06996011734009,0.98167085647583,378.4942998886109,0.0025684833526611,-6.283542511564155,-6.207249240453165,-17.305354111589825,-3.6140700401180665,-5.719535593418431,-1.66537829638339
gdb 68005,OC12CC(=O)C3OC1C23,-6.552501753615999,-7.5417,-10.270596532617937,-6.414373753446496,-0.7864090559779999,-3.3874,2.582461152192968,-1.9065700861712656,5.766092697638,4.154256818858,12.853057684810905,4.50780366727523,-17515.54869314052,-759.5460731500499,401.32936120033264,0.1903232485064835,0.3716577391952625,0.3676958321356907,0.2383428201433682,0.0119761703843901,0.009700059890747,1.3602955341339111,34.817527770996094,0.8117067813873291,357.4141318798065,0.0013411045074462,-6.29001262459844,-6.581500246878468,-17.812296532617935,-0.8049388478070321,-5.725472566802834,-1.764126026119679
